[26/Nov/2020 10:22:00] INFO [django.utils.autoreload:597] Watching for file changes with StatReloader
[26/Nov/2020 10:22:00] DEBUG [django.utils.autoreload:288] Waiting for apps ready_event.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:299] Apps ready_event triggered. Sending autoreload_started signal.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\whitenoise\runserver_nostatic\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\rest_framework\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\AppData\Local\Programs\Python\Python37\lib\site-packages\corsheaders\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\inicio\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\sobre_mi\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\actividades\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\galeria\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\contacto\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\colabora\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:247] Watching dir C:\Users\Elena\Desktop\Django\mlatte\footer\locale with glob **/*.mo.
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\test\client.py first seen with mtime 1604686151.3419893
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\ctypes\__init__.py first seen with mtime 1553545280.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\files\temp.py first seen with mtime 1604686150.973286
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\management\base.py first seen with mtime 1604686151.0012088
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1604686151.186944
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\test\utils.py first seen with mtime 1604686151.346983
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\dj_database_url.py first seen with mtime 1606154764.7137647
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1604686151.0852888
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\_collections_abc.py first seen with mtime 1553545280.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1604686150.9112594
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\chardet\cp949prober.py first seen with mtime 1605866188.987813
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\conf\__init__.py first seen with mtime 1604686145.8885968
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\asyncio\protocols.py first seen with mtime 1553545280.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\urllib\request.py first seen with mtime 1553545282.0
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\rest_framework\apps.py first seen with mtime 1604686175.5262098
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\django\db\models\utils.py first seen with mtime 1604686151.1640434
[26/Nov/2020 10:22:01] DEBUG [django.utils.autoreload:351] File C:\Users\Elena\AppData\Local\Programs\Python\Python37\Lib\site-packages\urllib3\packages\six.py first seen with mtime 1605866189.8901927
